,0
odometer,305.75658382300696
condition_paint_color,249.96256653027518
condition_manufacturer,113.71333056017008
condition_drive,112.48328288075538
odometer_by_year,110.74113850497724
year,103.68039401337015
model,79.10366982660567
region,63.211432543228696
type,57.994219575645545
paint_color,54.04779848406704
state,51.04216875720269
manufacturer,48.64623728208173
status,48.03140004260076
odometer_by_state,45.639391242628946
drive,37.86333729578928
title_status,28.9569147634694
condition,21.515592065544098
size,21.41552781097289
odometer_by_manufacturer,20.564626986665502
cylinders,19.67027404715438
fuel,17.327037142358392
transmission,16.706749524173503
year_by_manufacturer,13.519493847642394
